trip_history_id,trip_origin,trip_destination,trip_mode,actual_origin_latitude,actual_origin_longitude,actual_destination_latitude,actual_destination_longitude,actual_departure_time,actual_arrival_time,actual_travel_time,actual_distance,fuel_economy,fes,average_speed,total_mileage
607c92f8-706c-4095-9611-2ee308260437,"8314 Paint Branch Drive (38.9933387143901, -76.9365445711435)","6200 Westchester Park Dr (38.9921522, -76.8992787)",drive,38.99338611,-76.93656083,38.99160944,-76.89975933,2018-05-01 01:09:51.243+00,2018-05-01 01:20:00.642+00,10,4938.968871,20.63306594,23.96707979,23.19042194,3.067465179
966e48bd-6864-4d3e-82aa-41b9e1981aa4,"4601-4603 Chestnut Street (38.9935731981313, -77.0919991192195)","5640 Nicholson Lane (39.0442447, -77.1130095)",drive,38.99356415,-77.09173718,39.04488497,-77.11449705,2018-05-01 12:12:21.574+00,2018-05-01 12:24:10.214+00,11,7752.422519,27.95152747,100,27.04777616,4.817861731
796de237-2a09-4b49-9903-f27c173a4c31,"10182-10184 Governor Warfield Parkway (39.2160534942481, -76.8687039792338)","8332 Berry Pl (39.1403857, -76.903634)",drive,39.21477928,-76.86957417,39.14162428,-76.90294349,2018-05-01 12:51:46.783+00,2018-05-01 13:00:58.159+00,9,10385.8974,29.62035896,100,44.36782272,6.445172999
fa46b2cb-9848-47df-8af9-7d746fd89946,"5316 South Center Drive (39.0024135981801, -76.9152737657855)","387 Technology Dr (38.9924213, -76.9387364)",drive,39.00245058,-76.9151858,38.99319543,-76.93735912,2018-05-01 13:59:54.923+00,2018-05-01 14:09:18.133+00,9,4283.706435,22.72952319,59.65145858,22.11926453,2.659411107
c6994a6d-3504-48d3-845e-20de63c46e98,"382 Technology Drive (38.9926811539729, -76.9394181158509)","777 North Capitol Street Northeast (38.899912, -77.0084634)",drive,38.99275573,-76.93988437,38.90186482,-77.00757067,2018-05-01 14:24:54.034+00,2018-05-01 15:00:10.368+00,35,23449.39457,23.95474928,80.50637077,25.50496269,14.56044456
064f2c0b-a6c7-4c8d-bfd7-ace046312ecc,"5201-5299 Greenbelt Road (38.9980426362872, -76.9186252887553)","777 North Capitol St NE (38.8998406, -77.0084755)",drive,38.99805933,-76.91783032,38.90192486,-77.00759329,2018-05-01 14:30:25.815+00,2018-05-01 15:00:09.594+00,29,19622.40297,26.26716981,65.93710678,30.1787699,12.1857349
77b19a07-0588-41ed-9174-2b233f25b94c,"5-11 H Street Northeast (38.8998885825639, -77.0079374314072)","Clarksburg (39.2387164, -77.2794288)",drive,38.89988858,-77.00793743,39.24153594,-77.26489218,2018-05-01 19:28:23.78+00,2018-05-01 21:34:37.194+00,126,44006.4099,,,,
e357b01f-1dce-479a-980d-f85ae2abe9f0,"8 Lokus Road (39.0921652084581, -76.7051524110853)","1805 Chatfield Terrace (39.128599, -76.706902)",drive,39.09228243,-76.7050701,39.12848452,-76.7068474,2018-05-01 20:09:27.89+00,2018-05-01 20:24:30.328+00,15,6626.593682,21.40043136,20,32.78674615,3.92833932
77577efc-5110-45b2-9b5f-4d6e9daafe05,"7000 Amtrak Way (39.1889416081525, -76.6907087276819)","10315 Castlefield Street (39.2612168, -76.8749954)",drive,39.18230787,-76.69174654,39.26121223,-76.87504546,2018-05-01 21:54:31.275+00,2018-05-01 22:28:32.291+00,34,25280.56317,26.51352646,100,27.27361885,15.7019055
683926ca-251c-4a9d-a592-5cabeb1566c1,"8228 Paint Branch Drive (38.9908394589009, -76.9377158112861)","6200 Westchester Park Dr (38.9921522, -76.8992787)",drive,38.99348439,-76.9370241,38.99233946,-76.89906595,2018-05-01 22:00:56.368+00,2018-05-01 22:15:37.299+00,14,5846.649244,25.96882801,100,17.34999438,3.616131799
d3759290-d53f-40ba-88fb-07d627eb709a,"5640 Nicholson Lane (39.0442447, -77.1130095)","4524 Chestnut Street (38.9934069, -77.091408)",drive,39.04439305,-77.11306779,38.99340531,-77.09145983,2018-05-01 22:24:31.057+00,2018-05-01 22:58:05+00,33,7162.279296,12.91369614,65.45558508,9.613860306,4.455861158
3287295f-605d-4533-8cf2-b72ec2522876,"5345 Ridge Road (39.2023107502975, -77.2526753415142)","University of MD (38.9869183, -76.9425543)",drive,39.20099371,-77.25629518,38.98956408,-76.94230665,2018-05-02 11:53:10.408+00,2018-05-02 13:13:52.495+00,80,36359.07487,4563.082892,100,46.20523835,22.44628258
fc1ff711-de55-410c-b218-e8bca646f799,"452 Chestnut Street (38.9936347632101, -77.0915420540395)","5640 Nicholson Lane (39.0442447, -77.1130095)",drive,38.99363108,-77.09151414,39.04444133,-77.11308044,2018-05-02 12:10:02.646+00,2018-05-02 12:35:29.854+00,25,6333.988121,11.83792475,20,17.60256576,3.940437933
